Name;SerialNumber
"21.5"" монитор Dell E2220H (1920 x 1080 TN 60 Гц, 250 кд / м2, D-Sub, DP)";DP-0000028
"21.5"" монитор Dell E2221HN (1920 x 1080 TN 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000029
"21.5"" монитор Dell SE2222H (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000030
"21.5"" монитор HP P22va G4 < 453D2AA > (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000031
"21.5"" монитор HP V22 < 9SV80AA > (1920 x 1080 TN 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000032
"21.5"" монитор Lenovo 66ADKAC1EU < 66ADKAC1EU > (1920 x 1080 TN 75 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000033
"21.5"" монитор Lenovo 66CBKAC1EU < 66CBKAC1EU > (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000034
"21.5"" монитор Lenovo C22-20 < 62A7KAT1EU > (1920 x 1080 TN 75 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000035
"21.5"" монитор Lenovo ThinkCentre Tiny-In-One 22 Gen 4 (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, DP)";DP-0000036
"21.5"" монитор Philips 220V8L5 / 00 (1920 x 1080 60 Гц, 250 кд / м2)";DP-0000037
"21.5"" монитор Philips 222V8LA / 00 (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000038
"21.5"" монитор Philips 223V5 (1920 x 1080 TN 60 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000039
"21.5"" монитор Philips 223V5 (1920 x 1080 TN 60 Гц, 250 кд / м2, D-Sub)";DP-0000040
"21.5"" монитор Philips 223V5 (1920 x 1080 TN 76 Гц, 200 кд / м2, D-Sub)";DP-0000041
"21.5"" монитор Philips 223V5LHSB (1920 x 1080 TN 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000042
"21.5"" монитор Philips 223V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub)";DP-0000043
"21.5"" монитор Philips 223V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub)";DP-0000044
"21.5"" монитор Philips 223V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000045
"21.5"" монитор Philips 223V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000046
"21.5"" монитор Viewsonic VA2223-H (1920 x 1080 TN 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000047
"23"" монитор ASUS VC239HE-W (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000048
"23"" монитор ASUS VZ239HE (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000049
"23"" монитор ASUS VZ239HE-W (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000050
"23.6"" монитор Acer K242HQL bid (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000051
"23.6"" монитор Acer V246HQL bi (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000052
"23.6"" монитор AOC 24B1H (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000053
"23.6"" монитор AOC M2470SWD2 (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub)";DP-0000054
"23.6"" монитор AOC M2470SWDA2 (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub)";DP-0000055
"23.6"" монитор AOC M2470SWH (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000056
"23.6"" монитор ASUS VG24VQR (с поворотом экрана, 1920 x 1080 VA 165 Гц, 350 кд / м2, HDMI, DP)";DP-0000057
"23.6"" монитор ASUS VP247HAE (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000058
"23.6"" монитор HP X24c < 9FM22AA > (Curved 1920 x 1080 VA 144 Гц, 300 кд / м2, HDMI, DP)";DP-0000059
"23.6"" монитор LG 24GL650-B (с поворотом экрана, 1920 x 1080 TN 144 Гц, 300 кд / м2, HDMI, DP)";DP-0000060
"23.6"" монитор MSI 9S6-3BA01T-039 (1920 x 1080 VA 144 Гц, 250 кд / м2, HDMI, DP)";DP-0000061
"23.6"" монитор Philips 241E1SCA / 00 (Curved 1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000062
"23.6"" монитор Philips 243V5 (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub)";DP-0000063
"23.6"" монитор Philips 243V5 (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000064
"23.6"" монитор Philips 243V5 (1920 x 1080 MVA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000065
"23.6"" монитор Viewsonic VA2405-H (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000066
"23.6"" монитор Viewsonic VX2458-P-MHD (1920 x 1080 TN 144 Гц, 300 кд / м2, HDMI, DP)";DP-0000067
"23.8"" монитор Acer K242HYLbid (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI)";DP-0000068
"23.8"" монитор Acer K243Y bmix (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000069
"23.8"" монитор Acer R240HY bidx (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000070
"23.8"" монитор Acer RG240Y bmiix (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000071
"23.8"" монитор Acer RG241Y Pbiipx (1920 x 1080 IPS 165 Гц, 250 кд / м2, HDMI, DP)";DP-0000072
"23.8"" монитор Acer SA240Y Abi (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000073
"23.8"" монитор Acer SA241Y Abi (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI)";DP-0000074
"23.8"" монитор Acer V247Y bi (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000075
"23.8"" монитор Acer V247Y bip (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000076
"23.8"" монитор AOC 24B2XD (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub)";DP-0000077
"23.8"" монитор AOC 24B2XDA (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000078
"23.8"" монитор AOC 24B2XDAM (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000079
"23.8"" монитор AOC 24B2XDM (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub)";DP-0000080
"23.8"" монитор AOC 24B2XH (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000081
"23.8"" монитор AOC 24E1Q (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000082
"23.8"" монитор AOC 24G2SU / BK (с поворотом экрана, 1920 x 1080 VA 165 Гц, 350 кд / м2, HDMI, DP, USB3.1 Hub)";DP-0000083
"23.8"" монитор AOC 24P2Q (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000084
"23.8"" монитор AOC 24V2Q (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000085
"23.8"" монитор AOC G2490VXA (1920 x 1080 VA 144 Гц, 350 кд / м2, HDMI, DP)";DP-0000086
"23.8"" монитор AOC I2490VXQ / BT (1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI, DP)";DP-0000087
"23.8"" монитор Aopen 24CL1Y bi (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000088
"23.8"" монитор Asano M2401F (1920 x 1080 IPS 60 Гц, 200 кд / м2, HDMI)";DP-0000089
"23.8"" монитор ASUS 90LM0560-B01170 (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000090
"23.8"" монитор ASUS PA247CV (с поворотом экрана, 1920 x 1080 IPS 75 Гц, Zero Bright Dot, 300 кд / м2, USB3.1 Hub)";DP-0000091
"23.8"" монитор ASUS VA247HE (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000092
"23.8"" монитор ASUS VA249HE (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000093
"23.8"" монитор ASUS VA24DQ (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000094
"23.8"" монитор ASUS VA24DQLB (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000095
"23.8"" монитор ASUS VA24DQSB (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000096
"23.8"" монитор BenQ EW2480 (1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI)";DP-0000097
"23.8"" монитор BenQ GW2475H (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000098
"23.8"" монитор Dell 2421-9329 (1920 x 1080 IPS 75 Гц, Premium Panel, 250 кд / м2, HDMI)";DP-0000099
"23.8"" монитор Dell E2420H (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, DP)";DP-0000100
"23.8"" монитор Dell E2421HN (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000101
"23.8"" монитор Dell E2422H (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, DP)";DP-0000102
"23.8"" монитор Dell E2422HN (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000103
"23.8"" монитор Dell E2422HS (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000104
"23.8"" монитор Dell Professional P2418HZm (с поворотом экрана, 1920 x 1080 IPS 60 Гц, Premium Panel, 250 кд / м2, D-Sub, HDMI, DP, USB3.0 Hub)";DP-0000105
"23.8"" монитор Dell Professional P2422H (с поворотом экрана, 1920 x 1080 IPS 60 Гц, Premium Panel, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000106
"23.8"" монитор Dell S2421HGF (1920 x 1080 TN 144 Гц, Premium Panel, 350 кд / м2, HDMI, DP)";DP-0000107
"23.8"" монитор Dell S2421HN (1920 x 1080 IPS 75 Гц, Premium Panel, 250 кд / м2, HDMI)";DP-0000108
"23.8"" монитор Dell S2422HZ (с поворотом экрана, 1920 x 1080 IPS 75 Гц, Premium Panel, 250 кд / м2, HDMI, DP, USB3.2 Hub)";DP-0000109
"23.8"" монитор Dell SE2422H (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000110
"23.8"" монитор Digma DM-MONF2410 (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000111
"23.8"" монитор Digma DM-MONF2420 (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000112
"23.8"" монитор HIKVISION DS-D5024FN (1920 x 1080 60 Гц, 250 кд / м2, HDMI)";DP-0000113
"23.8"" монитор HIPER AFB-103C-75 (1920 x 1080)";DP-0000114
"23.8"" монитор HP 169L0AA#ABB (с поворотом экрана, 1920 x 1080 IPS, D-Sub, HDMI)";DP-0000115
"23.8"" монитор HP 189T0AA#ABB < 189T0AA > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI, DP)";DP-0000116
"23.8"" монитор HP 9TT78AA < 9TT78AA > (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000117
"23.8"" монитор HP EliteDisplay E243d < 1TJ76AA > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.1 Hub)";DP-0000118
"23.8"" монитор HP EliteDisplay E243m < 1FH48AA > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.0 Hub)";DP-0000119
"23.8"" монитор HP V241ib < 453D6AA > (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000120
"23.8"" монитор HP Z Z24f G3 < 3G828AA > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, Zero Bright Dot, 300 кд / м2, HDMI, DP, USB3.2 Hub)";DP-0000121
"23.8"" монитор iiyama X2483HSU-B3 (1920 x 1080 MVA 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000122
"23.8"" монитор Lenovo 66B0KAC1EU < 66B0KAC1EU > (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI)";DP-0000123
"23.8"" монитор Lenovo ThinkVision S24e-20 < 62AEKAT2EU > (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000124
"23.8"" монитор Lenovo ThinkVision T24i-2L < 62B0MAT2EU > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000125
"23.8"" монитор LG 24BK550Y-B (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000126
"23.8"" монитор LG 24EA430V-B (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000127
"23.8"" монитор LG 24MK430H-B (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000128
"23.8"" монитор LG 24MP400-B (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000129
"23.8"" монитор MSI 9S6-3PA59H-006 (1920 x 1080 IPS, 250 кд / м2, HDMI)";DP-0000130
"23.8"" монитор MSI G241 (1920 x 1080 IPS 144 Гц, 250 кд / м2, HDMI, DP)";DP-0000131
"23.8"" монитор MSI MP242 (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000132
"23.8"" монитор Nec EX241UN-BK (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI, DP, USB3.0 Hub)";DP-0000133
"23.8"" монитор Philips 241B7QUBHEB / 00 (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP, USB3.2 Hub)";DP-0000134
"23.8"" монитор Philips 241E2FD / 00 (1920 x 1080 IPS 75 Гц, 300 кд / м2, HDMI)";DP-0000135
"23.8"" монитор Philips 241V8L / 01 (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI)";DP-0000136
"23.8"" монитор Philips 241V8LA / 01 (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000137
"23.8"" монитор Philips 242B1 / 00 (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000138
"23.8"" монитор Philips 242B1H (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000139
"23.8"" монитор Philips 242B1TFL / 00 (1920 x 1080 IPS 75 Гц, 295 кд / м2, HDMI, DP, Поддержка Multi-Touch, USB3.2 Hub, IP54)";DP-0000140
"23.8"" монитор Philips 242E1GAEZ / 00 (1920 x 1080 VA 144 Гц, 350 кд / м2, HDMI, DP)";DP-0000141
"23.8"" монитор Philips 242E1GAJ / 00 (1920 x 1080 VA 144 Гц, 350 кд / м2, HDMI, DP)";DP-0000142
"23.8"" монитор Philips 242E2FA / 01 (1920 x 1080 IPS 75 Гц, 300 кд / м2, D-Sub, HDMI, DP)";DP-0000143
"23.8"" монитор Philips 242V8LA / 00 (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000144
"23.8"" монитор Philips 243B9H / 00 (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000145
"23.8"" монитор Philips 243S7EYMB (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, DP)";DP-0000146
"23.8"" монитор Philips 243V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub)";DP-0000147
"23.8"" монитор Philips 243V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000148
"23.8"" монитор Philips 243V7 (1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI)";DP-0000149
"23.8"" монитор Philips 243V7 (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI)";DP-0000150
"23.8"" монитор Samsung F24T350FHI (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000151
"23.8"" монитор Samsung F24T450FQI (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP, USB2.0 Hub)";DP-0000152
"23.8"" монитор Samsung S24A336NHI (1920 x 1080 VA 60 Гц, 250 кд / м2, HDMI)";DP-0000153
"23.8"" монитор Samsung S24R356FZI (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI)";DP-0000154
"23.8"" монитор Samsung S24R650FDI (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.0 Hub)";DP-0000155
"23.8"" монитор Viewsonic VA2406-H-2 (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000156
"23.8"" монитор Viewsonic VA2418-SH (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000157
"23.8"" монитор Viewsonic VA2432-h (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000158
"23.8"" монитор Viewsonic VS18576 (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000159
"23.8"" монитор Viewsonic VX2476-SMH (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000160
"23.8"" монитор Xiaomi Mi Desktop Monitor 1C (1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000161
"24"" монитор BenQ GL2480 (1920 x 1080 TN 75 Гц, 250 кд / м2, HDMI)";DP-0000162
"24"" монитор MSI 9S6-3BA81T-012 (1920 x 1080, 250 кд / м2, HDMI, DP)";DP-0000163
"24"" монитор Samsung F24T354FHI (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000164
"27"" монитор Acer K272HLEbd (1920 x 1080 VA 60 Гц, 300 кд / м2, D-Sub, HDMI)";DP-0000165
"27"" монитор Acer SA270 Abi (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI)";DP-0000166
"27"" монитор AOC 27B2AM (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000167
"27"" монитор AOC 27B2DA (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000168
"27"" монитор AOC 27B2H (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000169
"27"" монитор AOC 27B2QAM (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000170
"27"" монитор AOC 27P1 / GR (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.0 Hub)";DP-0000171
"27"" монитор AOC 27V2Q (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000172
"27"" монитор AOC C27G2U (Curved 1920 x 1080 VA 165 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000173
"27"" монитор AOC C27G3U (Curved 1920 x 1080 VA 165 Гц, 250 кд / м2, HDMI, DP, USB3.2 Hub)";DP-0000174
"27"" монитор AOC G2790PX (с поворотом экрана, 1920 x 1080 TN 144 Гц, 400 кд / м2, D-Sub, HDMI, DP, USB3.0 Hub)";DP-0000175
"27"" монитор AOC G2790VXA (1920 x 1080 VA 144 Гц, 350 кд / м2, HDMI, DP)";DP-0000176
"27"" монитор Aopen 27HC5RZbmiiphx (Curved 1920 x 1080 VA 240 Гц, 250 кд / м2, HDMI, DP)";DP-0000177
"27"" монитор Asano M2701F (1920 x 1080 IPS 60 Гц, 200 кд / м2, HDMI)";DP-0000178
"27"" монитор ASUS VA27DQSB (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000179
"27"" монитор ASUS VA27EHE (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000180
"27"" монитор ASUS VG278QF (1920 x 1080 TN 165 Гц, 400 кд / м2, HDMI, DP)";DP-0000181
"27"" монитор ASUS VG27VQ (Curved 1920 x 1080 VA 165 Гц, 400 кд / м2, HDMI, DP)";DP-0000182
"27"" монитор ASUS VZ279HE-W (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000183
"27"" монитор BenQ BL2783 (1920 x 1080 TN 60 Гц, 300 кд / м2, D-Sub, HDMI, DP)";DP-0000184
"27"" монитор BenQ GL2780 (1920 x 1080 TN 75 Гц, 300 кд / м2, D-Sub, HDMI, DP)";DP-0000185
"27"" монитор BenQ GW2780 (1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI, DP)";DP-0000186
"27"" монитор Dell E2722H (1920 x 1080 IPS 60 Гц, 300 кд / м2, D-Sub, DP)";DP-0000187
"27"" монитор Dell E2722HS (1920 x 1080 IPS 60 Гц, 300 кд / м2, D-Sub, HDMI, DP)";DP-0000188
"27"" монитор Dell Professional P2722H (с поворотом экрана, 1920 x 1080 IPS 60 Гц, Premium Panel, 300 кд / м2, D-Sub, HDMI, DP, USB3.2 Hub)";DP-0000189
"27"" монитор Dell S2721H (1920 x 1080 IPS 75 Гц, Premium Panel, 300 кд / м2, HDMI)";DP-0000190
"27"" монитор Dell S2721HGF (Curved 1920 x 1080 VA 144 Гц, Premium Panel, 350 кд / м2, HDMI, DP)";DP-0000191
"27"" монитор Dell S2721HN (1920 x 1080 IPS 75 Гц, Premium Panel, 300 кд / м2, HDMI)";DP-0000192
"27"" монитор Dell S2721HS (с поворотом экрана, 1920 x 1080 IPS 75 Гц, Premium Panel, 300 кд / м2, HDMI, DP)";DP-0000193
"27"" монитор Dell SE2722H (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000194
"27"" монитор HP 32G13AA < 32G13AA > (Curved 1920 x 1080 VA 165 Гц, 350 кд / м2, HDMI, DP)";DP-0000195
"27"" монитор HP E27 G4 < 9VG71AA > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI, DP, USB2.0 Hub)";DP-0000196
"27"" монитор HP M27 (1920 x 1080 IPS 60 Гц, 300 кд / м2, HDMI, DP, USB3.1 Hub)";DP-0000197
"27"" монитор HP M27fwa < 356D5AA > (1920 x 1080 IPS 75 Гц, 300 кд / м2, D-Sub, HDMI)";DP-0000198
"27"" монитор HP P27v G4 < 9TT20AA > (1920 x 1080 IPS 60 Гц, 300 кд / м2, D-Sub, HDMI)";DP-0000199
"27"" монитор HP V27i < 9SV94AA > (1920 x 1080 IPS 60 Гц, 300 кд / м2, D-Sub, HDMI)";DP-0000200
"27"" монитор Lenovo L27i-30 < 66BFKAC2EU > (1920 x 1080 IPS 75 Гц, 250 кд / м2)";DP-0000201
"27"" монитор Lenovo ThinkVision T27i-10 < 61C6MAT1EU > (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000202
"27"" монитор LG 27BK550Y-B (с поворотом экрана, 1920 x 1080 IPS 60 Гц, 250 кд / м2, D-Sub, HDMI, DP, USB2.0 Hub)";DP-0000203
